,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
6774,Private room,San Francisco,Western Addition,1,0.0,1,1.0,100.0,37.78145,-122.432409,0101000020E6100000C05FCC96AC9B5EC0C7BAB88D06E44240
6775,Private room,San Francisco,Western Addition,1,0.0,2,1.0,100.0,37.779607,-122.432449,0101000020E6100000070C923EAD9B5EC0C85D8429CAE34240
6776,Private room,San Francisco,South of Market,16,4.5,1,1.0,85.0,37.780895,-122.40511200000002,0101000020E6100000E6CDE15AED995EC0124E0B5EF4E34240
6777,Private room,San Francisco,Western Addition,256,5.0,2,1.0,99.0,37.787188,-122.430333,0101000020E6100000EF586C938A9B5EC0DEE68D93C2E44240
6778,Private room,San Francisco,Western Addition,16,5.0,4,1.0,99.0,37.786404,-122.42426599999999,0101000020E610000081B3942C279B5EC0C7B8E2E2A8E44240
6779,Private room,San Francisco,South of Market,4,5.0,2,1.0,91.0,37.781421,-122.405648,0101000020E6100000056C0723F6995EC02DB4739A05E44240
6780,Private room,San Francisco,South of Market,15,4.0,1,1.0,95.0,37.782056,-122.396549,0101000020E6100000BC900E0F61995EC0FED137691AE44240
6781,Private room,San Francisco,South of Market,2,0.0,1,1.0,95.0,37.780374,-122.39666299999999,0101000020E6100000212235ED62995EC00953944BE3E34240
6782,Private room,San Francisco,Castro/Upper Market,1,0.0,1,1.0,100.0,37.763777000000005,-122.43463899999999,0101000020E61000003CA41820D19B5EC0EF37DA71C3E14240
6783,Private room,San Francisco,Mission,0,0.0,2,1.0,85.0,37.759935,-122.42055800000001,0101000020E61000008E041A6CEA9A5EC0FA0AD28C45E14240
6784,Private room,San Francisco,Western Addition,0,0.0,2,1.0,100.0,37.773179999999996,-122.43503100000001,0101000020E6100000C16F438CD79B5EC0EDF5EE8FF7E24240
6785,Private room,San Francisco,Western Addition,0,0.0,1,1.0,90.0,37.769359,-122.430828,0101000020E6100000DF8C9AAF929B5EC00FF10F5B7AE24240
6786,Private room,San Francisco,South of Market,0,0.0,2,1.0,90.0,37.780481,-122.40323000000001,0101000020E610000007B13385CE995EC01F1329CDE6E34240
6787,Private room,San Francisco,Castro/Upper Market,6,5.0,2,1.0,90.0,37.766735,-122.427775,0101000020E6100000F8C264AA609B5EC06AD95A5F24E24240
6788,Private room,San Francisco,Potrero Hill,1,0.0,2,1.0,95.0,37.762257,-122.396378,0101000020E6100000A6B6D4415E995EC0D3122BA391E14240
6789,Private room,San Francisco,Western Addition,1,0.0,1,1.0,100.0,37.776246,-122.427884,0101000020E6100000D49E9273629B5EC04ED367075CE34240
6790,Private room,San Francisco,Castro/Upper Market,4,5.0,4,1.0,99.0,37.762211,-122.43490800000001,0101000020E610000033315D88D59B5EC063D34A2190E14240
6791,Private room,San Francisco,Mission,0,0.0,2,1.0,85.0,37.76513,-122.42416399999999,0101000020E6100000FF08C380259B5EC02098A3C7EFE14240
6792,Private room,San Francisco,Haight Ashbury,0,0.0,2,1.0,84.0,37.772692,-122.439872,0101000020E6100000459BE3DC269C5EC0BFF04A92E7E24240
6793,Private room,San Francisco,Mission,7,5.0,2,1.0,99.0,37.767604999999996,-122.418906,0101000020E610000049861C5BCF9A5EC0809F71E140E24240
6794,Private room,San Francisco,Castro/Upper Market,16,5.0,1,1.0,90.0,37.763711,-122.429955,0101000020E61000001CF0F961849B5EC0384C3448C1E14240
6795,Private room,San Francisco,Mission,0,0.0,1,1.0,100.0,37.7574,-122.42088999999999,0101000020E6100000A94D9CDCEF9A5EC0C5FEB27BF2E04240
6796,Private room,San Francisco,Mission,10,5.0,1,1.0,99.0,37.760123,-122.42501999999999,0101000020E610000057091687339B5EC0FDF7E0B54BE14240
6797,Private room,San Francisco,Mission,62,4.5,2,1.0,85.0,37.761629,-122.421553,0101000020E6100000F7216FB9FA9A5EC0B4571F0F7DE14240
6798,Private room,San Francisco,Mission,1,0.0,1,1.0,99.0,37.765771,-122.42491000000001,0101000020E6100000936FB6B9319B5EC0D49CBCC804E24240
6799,Private room,San Francisco,Western Addition,109,4.5,2,1.0,90.0,37.771712,-122.43446100000001,0101000020E6100000CC988235CE9B5EC023F77475C7E24240
6800,Private room,San Francisco,Mission,18,4.5,2,1.0,90.0,37.764508,-122.41648400000001,0101000020E6100000AAD381ACA79A5EC0E3C3EC65DBE14240
6801,Private room,San Francisco,Castro/Upper Market,0,0.0,1,1.0,100.0,37.762634000000006,-122.426794,0101000020E61000004208C897509B5EC0A968ACFD9DE14240
6802,Private room,San Francisco,Mission,0,0.0,2,1.0,90.0,37.758088,-122.40949199999999,0101000020E610000050FEEE1D359A5EC0BABE0F0709E14240
6803,Private room,San Francisco,Western Addition,0,0.0,2,1.0,100.0,37.771606,-122.43018300000001,0101000020E6100000E412471E889B5EC0DDB243FCC3E24240
6804,Private room,San Francisco,Castro/Upper Market,1,0.0,1,1.0,98.0,37.763474,-122.438745,0101000020E61000002592E865149C5EC054AC1A84B9E14240
6805,Private room,San Francisco,Castro/Upper Market,48,5.0,2,1.0,95.0,37.758712,-122.437316,0101000020E61000001F813FFCFC9B5EC0988A8D791DE14240
6806,Private room,San Francisco,South of Market,1,0.0,2,1.0,99.0,37.773976,-122.403485,0101000020E61000004DDBBFB2D2995EC0C7F143A511E34240
6807,Private room,San Francisco,Downtown/Civic Center,0,0.0,2,1.0,100.0,37.785466,-122.406453,0101000020E61000001C977153039A5EC05A0F5F268AE44240
6808,Private room,San Francisco,Western Addition,2,0.0,2,1.0,99.0,37.772742,-122.436975,0101000020E6100000DB8AFD65F79B5EC0711FB935E9E24240
6809,Private room,San Francisco,Mission,14,5.0,2,1.0,100.0,37.762221999999994,-122.41649299999999,0101000020E6100000D48041D2A79A5EC05725917D90E14240
6810,Private room,San Francisco,Western Addition,35,5.0,2,1.0,95.0,37.781763,-122.434224,0101000020E6100000DAC87553CA9B5EC0861C5BCF10E44240
6811,Private room,San Francisco,Potrero Hill,1,0.0,2,1.0,85.0,37.762243,-122.39673700000002,0101000020E61000003E07962364995EC06E4DBA2D91E14240
6812,Private room,San Francisco,Western Addition,1,0.0,2,1.0,100.0,37.77913,-122.433834,0101000020E61000002579AEEFC39B5EC08FAA2688BAE34240
6813,Private room,San Francisco,Mission,0,0.0,2,1.0,88.0,37.769288,-122.421465,0101000020E610000027DA5548F99A5EC0469A780778E24240
6814,Private room,San Francisco,Chinatown,6,4.5,2,1.0,99.0,37.795162,-122.40603200000001,0101000020E61000004948A46DFC995EC0CF8250DEC7E54240
6815,Private room,San Francisco,Western Addition,4,5.0,1,1.0,85.0,37.776092999999996,-122.423882,0101000020E61000003DD7F7E1209B5EC0C8D3F20357E34240
6816,Private room,San Francisco,Mission,0,0.0,2,1.0,90.0,37.768534,-122.416771,0101000020E6100000F5BA4560AC9A5EC09AEE75525FE24240
6817,Private room,San Francisco,Mission,6,5.0,2,1.0,95.0,37.770379,-122.422252,0101000020E6100000EBAA402D069B5EC0394371C79BE24240
6818,Private room,San Francisco,Western Addition,4,5.0,2,1.0,90.0,37.770522,-122.431142,0101000020E6100000A67B9DD4979B5EC09C6C0377A0E24240
6819,Private room,San Francisco,Mission,1,0.0,2,1.0,96.0,37.761403,-122.41688700000002,0101000020E61000002AC8CF46AE9A5EC0C4094CA775E14240
6820,Private room,San Francisco,Mission,9,5.0,1,1.0,90.0,37.757503,-122.42053500000002,0101000020E6100000B2F4A10BEA9A5EC09ACFB9DBF5E04240
6821,Private room,San Francisco,South of Market,5,5.0,1,1.0,81.0,37.773742,-122.391503,0101000020E61000004C5299620E995EC054C554FA09E34240
6822,Private room,San Francisco,Mission,12,5.0,2,1.0,94.0,37.767114,-122.405208,0101000020E6100000F70489EDEE995EC0E126A3CA30E24240
6823,Private room,San Francisco,South of Market,7,4.5,2,1.0,95.0,37.775341999999995,-122.39318,0101000020E61000003E5C72DC29995EC08D9B1A683EE34240
6824,Private room,San Francisco,Mission,61,5.0,2,1.0,99.0,37.762060999999996,-122.42200700000001,0101000020E6100000B7EBA529029B5EC04E4700378BE14240
6825,Private room,San Francisco,Downtown/Civic Center,9,4.0,2,1.0,100.0,37.780046999999996,-122.416898,0101000020E610000024F1F274AE9A5EC0E52B8194D8E34240
6826,Private room,San Francisco,South of Market,16,5.0,2,1.0,90.0,37.778216,-122.402266,0101000020E6100000BC92E4B9BE995EC0AA9CF6949CE34240
6827,Private room,San Francisco,South of Market,235,5.0,2,1.0,90.0,37.777889,-122.41067199999999,0101000020E610000082583673489A5EC08675E3DD91E34240
6828,Private room,San Francisco,Russian Hill,13,4.5,2,1.0,95.0,37.801689,-122.41341000000001,0101000020E6100000B875374F759A5EC00F48C2BE9DE64240
6829,Private room,San Francisco,Mission,1,0.0,2,1.0,89.0,37.761767,-122.41706699999999,0101000020E61000006A4FC939B19A5EC00516C09481E14240
