,Unnamed: 0,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,price,location
112,112,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,11,5.0,3,132.0,0101000020E610000003D2FE0758BB13407FBC57AD4C2E4A40
113,113,Entire home/apt,Amsterdam,Watergraafsmeer,0,0.0,4,143.0,0101000020E6100000B5FF01D6AABD1340A83462669F2D4A40
114,114,Entire home/apt,Amsterdam,Oud Oost,0,0.0,3,144.0,0101000020E61000005AD76839D0B31340CF4E0647C92D4A40
115,115,Entire home/apt,Amsterdam,Centrum West,0,0.0,2,144.0,0101000020E61000000DC68844A1851340AE2990D959304A40
116,116,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,2,144.0,0101000020E610000013D6C6D8096F134051A04FE4492E4A40
117,117,Entire home/apt,Amsterdam,Centrum Oost,59,5.0,2,108.0,0101000020E6100000823AE5D18D90134051BEA085042E4A40
118,118,Entire home/apt,Amsterdam,Oud Oost,8,5.0,2,112.0,0101000020E6100000064B75012FA31340D76D50FBAD2D4A40
119,119,Entire home/apt,Amsterdam,Bijlmer Oost,5,4.0,5,119.0,0101000020E61000006005F86EF3D613408061F9F36D294A40
120,120,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,107.0,0101000020E6100000AB59677C5F9C134065170CAEB92B4A40
121,121,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,7,5.0,4,124.0,0101000020E61000001A14CD0358C4134051888043A82E4A40
122,122,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,7,4.5,4,108.0,0101000020E61000009F05A1BC8FC31340959A3DD00A2E4A40
123,123,Entire home/apt,Amsterdam,Bos en Lommer,0,0.0,2,107.0,0101000020E6100000CEDF8442046C1340BD70E7C248314A40
124,124,Entire home/apt,Amsterdam,Centrum West,32,5.0,2,119.0,0101000020E6100000F9D7F2CAF5861340A5F3E15982304A40
125,125,Entire home/apt,Amsterdam,Bos en Lommer,0,0.0,2,113.0,0101000020E6100000B45549641F6413400708E6E8F12F4A40
126,126,Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0.0,2,107.0,0101000020E6100000295FD042025613403BFE0B0401304A40
127,127,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,118.0,0101000020E6100000A6272CF180A213409DA1B8E34D2C4A40
128,128,Entire home/apt,Amsterdam,Westerpark,1,0.0,2,119.0,0101000020E6100000F0DE5163427C13403F74417DCB304A40
129,129,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,114.0,0101000020E610000001E0D8B3E7921340F37684D3822D4A40
130,130,Entire home/apt,Amsterdam,Oud Noord,0,0.0,4,119.0,0101000020E610000007B47405DBB8134037363B527D314A40
131,131,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0.0,2,84.0,0101000020E610000050FC1873D7621340D12346CF2D2C4A40
132,132,Entire home/apt,Amsterdam,Watergraafsmeer,16,4.5,2,96.0,0101000020E610000093E00D6954B01340D2A6EA1ED92C4A40
133,133,Entire home/apt,Amsterdam,De Baarsjes / Oud West,17,4.0,2,87.0,0101000020E610000022FB20CB82691340B96E4A79AD2E4A40
134,134,Entire home/apt,Amsterdam,De Baarsjes / Oud West,26,5.0,2,102.0,0101000020E6100000A8FDD64E94741340A93121E6922E4A40
