,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
76,Entire home/apt,Amsterdam,Noord Oost,0,0.0,6,4.0,252.0,52.406053,4.933851,0101000020E6100000FB58C16F43BC1340AAB8718BF9334A40
77,Entire home/apt,Amsterdam,Noord Oost,0,0.0,5,4.0,240.0,52.406822,4.932623,0101000020E610000059FD118601BB13408BA548BE12344A40
78,Entire home/apt,Amsterdam,Centrum Oost,0,0.0,4,2.0,288.0,52.366318,4.897947,0101000020E61000004E2A1A6B7F971340D3F71A82E32E4A40
79,Entire home/apt,Amsterdam,Centrum Oost,17,5.0,2,1.0,186.0,52.365515,4.885978,0101000020E6100000E6E61BD13D8B134046990D32C92E4A40
80,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,3,2.0,203.0,52.344126,4.904813,0101000020E61000008BFB8F4C879E134006DA1D520C2C4A40
81,Entire home/apt,Amsterdam,Oud Oost,4,5.0,4,2.0,193.0,52.355795,4.9144,0101000020E61000007FD93D7958A81340488AC8B08A2D4A40
82,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,11,4.5,4,2.0,201.0,52.352971000000004,5.005403,0101000020E61000007F33315D88051440DCB75A272E2D4A40
83,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,10,5.0,4,4.0,193.0,52.354023,5.003133,0101000020E61000004A27124C3503144012842BA0502D4A40
84,Entire home/apt,Amsterdam,Slotervaart,1,0.0,6,3.0,193.0,52.363586,4.836393,0101000020E6100000CF6916687758134048A46DFC892E4A40
85,Entire home/apt,Amsterdam,Oud Oost,0,0.0,4,2.0,204.0,52.356592,4.921396,0101000020E61000002EA9DA6E82AF1340F30181CEA42D4A40
86,Entire home/apt,Amsterdam,De Baarsjes / Oud West,2,0.0,2,1.0,193.0,52.368764,4.870893,0101000020E6100000E542E55FCB7B134098F8A3A8332F4A40
87,Entire home/apt,Amsterdam,Oud Noord,2,0.0,6,4.0,203.0,52.391342,4.940419,0101000020E6100000EA25C632FDC213408FC6A17E17324A40
88,Entire home/apt,Amsterdam,Bos en Lommer,0,0.0,2,1.0,191.0,52.377804,4.851015,0101000020E61000002C9FE579706713402426A8E15B304A40
89,Entire home/apt,Amsterdam,Slotervaart,1,0.0,2,1.0,150.0,52.34953,4.835548,0101000020E6100000EDF318E599571340467C2766BD2C4A40
90,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,8,4.5,4,2.0,180.0,52.324397,4.866871,0101000020E61000003C670B08AD771340D3F544D785294A40
91,Entire home/apt,Amsterdam,De Baarsjes / Oud West,1,0.0,4,1.0,184.0,52.364351,4.864372,0101000020E6100000FD4FFEEE1D751340E8A1B60DA32E4A40
92,Entire home/apt,Amsterdam,Westerpark,9,5.0,2,1.0,168.0,52.381631,4.86808,0101000020E6100000293FA9F6E9781340E411DC48D9304A40
93,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,15,4.5,3,1.0,150.0,52.359367999999996,4.943298,0101000020E6100000628731E9EFC513404E9D47C5FF2D4A40
94,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,3,1.0,162.0,52.343227,4.901935,0101000020E6100000967840D9949B1340560DC2DCEE2B4A40
95,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,4,4.5,4,2.0,150.0,52.352703000000005,4.90859,0101000020E6100000FCE3BD6A65A21340BD19355F252D4A40
96,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,9,5.0,4,2.0,145.0,52.351876000000004,5.006576,0101000020E610000005C1E3DBBB061440A71FD4450A2D4A40
97,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0.0,4,2.0,150.0,52.349957,5.007643,0101000020E61000005E2C0C91D3071440CE001764CB2C4A40
98,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,2,1.0,150.0,52.364619,4.8597529999999995,0101000020E6100000338D2617637013400740DCD5AB2E4A40
99,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,0,0.0,2,1.0,162.0,52.371282,4.93478,0101000020E6100000CCD1E3F736BD1340F7CB272B862F4A40
100,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,4,4.5,7,5.0,168.0,52.35217,4.999629,0101000020E610000061889CBE9EFF1340F05014E8132D4A40
101,Entire home/apt,Amsterdam,Centrum West,23,4.5,2,0.0,177.0,52.376118,4.884034,0101000020E610000050357A3540891340EDB776A224304A40
102,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0.0,5,3.0,168.0,52.358012,4.996575,0101000020E6100000780B24287EFC1340ACC95356D32D4A40
103,Entire home/apt,Amsterdam,Noord Oost,11,4.5,6,3.0,168.0,52.414304,5.027689,0101000020E6100000F5D555815A1C14400E4DD9E907354A40
104,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,4,2.0,133.0,52.359734,4.857653,0101000020E6100000E14389963C6E134030A182C30B2E4A40
105,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,1,0.0,4,2.0,141.0,52.329131,4.858853,0101000020E610000034492C29776F1340C58CF0F6202A4A40
106,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,2,0.0,143.0,52.351817,4.888928,0101000020E6100000A8FE4124438E1340A296E656082D4A40
107,Entire home/apt,Amsterdam,De Baarsjes / Oud West,80,5.0,2,1.0,144.0,52.367791,4.850668,0101000020E6100000D1031F8315671340AE6186C6132F4A40
108,Entire home/apt,Amsterdam,Westerpark,0,0.0,3,0.0,144.0,52.379486,4.872854,0101000020E61000002CBB6070CD7D13401AA54BFF92304A40
109,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,3,1.0,144.0,52.369768,4.848639,0101000020E6100000CA703C9F01651340BD8DCD8E542F4A40
110,Entire home/apt,Amsterdam,Westerpark,8,5.0,2,1.0,137.0,52.384346,4.871207,0101000020E6100000622F14B01D7C1340992CEE3F32314A40
111,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,1.0,144.0,52.355087,4.888014,0101000020E6100000828FC18A538D13400C1EA67D732D4A40
112,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,11,5.0,3,1.0,132.0,52.361715000000004,4.9329529999999995,0101000020E610000003D2FE0758BB13407FBC57AD4C2E4A40
113,Entire home/apt,Amsterdam,Watergraafsmeer,0,0.0,4,1.0,143.0,52.356427000000004,4.935222,0101000020E6100000B5FF01D6AABD1340A83462669F2D4A40
114,Entire home/apt,Amsterdam,Oud Oost,0,0.0,3,1.0,144.0,52.357704999999996,4.925599,0101000020E61000005AD76839D0B31340CF4E0647C92D4A40
115,Entire home/apt,Amsterdam,Centrum West,0,0.0,2,1.0,144.0,52.377742,4.880498,0101000020E61000000DC68844A1851340AE2990D959304A40
116,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,2,2.0,144.0,52.36163,4.858436,0101000020E610000013D6C6D8096F134051A04FE4492E4A40
117,Entire home/apt,Amsterdam,Centrum Oost,59,5.0,2,0.0,108.0,52.359513,4.891166,0101000020E6100000823AE5D18D90134051BEA085042E4A40
118,Entire home/apt,Amsterdam,Oud Oost,8,5.0,2,1.0,112.0,52.356871999999996,4.909358999999999,0101000020E6100000064B75012FA31340D76D50FBAD2D4A40
119,Entire home/apt,Amsterdam,Bijlmer Oost,5,4.0,5,0.0,119.0,52.323668,4.959912999999999,0101000020E61000006005F86EF3D613408061F9F36D294A40
120,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,2.0,107.0,52.341604,4.9027080000000005,0101000020E6100000AB59677C5F9C134065170CAEB92B4A40
121,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,7,5.0,4,1.0,124.0,52.364509999999996,4.941742,0101000020E61000001A14CD0358C4134051888043A82E4A40
122,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,7,4.5,4,2.0,108.0,52.359705,4.940978,0101000020E61000009F05A1BC8FC31340959A3DD00A2E4A40
123,Entire home/apt,Amsterdam,Bos en Lommer,0,0.0,2,1.0,107.0,52.385033,4.855485,0101000020E6100000CEDF8442046C1340BD70E7C248314A40
124,Entire home/apt,Amsterdam,Centrum West,32,5.0,2,1.0,119.0,52.378978000000004,4.881797,0101000020E6100000F9D7F2CAF5861340A5F3E15982304A40
125,Entire home/apt,Amsterdam,Bos en Lommer,0,0.0,2,1.0,113.0,52.37457,4.8477760000000005,0101000020E6100000B45549641F6413400708E6E8F12F4A40
126,Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0.0,2,1.0,107.0,52.375031,4.833993,0101000020E6100000295FD042025613403BFE0B0401304A40
127,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,1.0,118.0,52.346127,4.908695,0101000020E6100000A6272CF180A213409DA1B8E34D2C4A40
128,Entire home/apt,Amsterdam,Westerpark,1,0.0,2,1.0,119.0,52.381209999999996,4.871347,0101000020E6100000F0DE5163427C13403F74417DCB304A40
129,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,0.0,114.0,52.355554999999995,4.893462,0101000020E610000001E0D8B3E7921340F37684D3822D4A40
130,Entire home/apt,Amsterdam,Oud Noord,0,0.0,4,2.0,119.0,52.386637,4.930523,0101000020E610000007B47405DBB8134037363B527D314A40
131,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0.0,2,1.0,84.0,52.345147999999995,4.846525,0101000020E610000050FC1873D7621340D12346CF2D2C4A40
132,Entire home/apt,Amsterdam,Watergraafsmeer,16,4.5,2,1.0,96.0,52.350376000000004,4.922197,0101000020E610000093E00D6954B01340D2A6EA1ED92C4A40
133,Entire home/apt,Amsterdam,De Baarsjes / Oud West,17,4.0,2,1.0,87.0,52.364669,4.853038,0101000020E610000022FB20CB82691340B96E4A79AD2E4A40
134,Entire home/apt,Amsterdam,De Baarsjes / Oud West,26,5.0,2,1.0,102.0,52.363858,4.863847,0101000020E6100000A8FDD64E94741340A93121E6922E4A40
135,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,1.0,90.0,52.343339,4.909873999999999,0101000020E61000003EEC8502B6A313407E384888F22B4A40
136,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,25,4.5,4,2.0,90.0,52.324977000000004,4.884253,0101000020E61000003F8F519E79891340E179A9D898294A40
137,Entire home/apt,Amsterdam,Bijlmer Centrum,28,4.5,2,0.0,96.0,52.321186,4.952329,0101000020E6100000292158552FCF13406EF7729F1C294A40
138,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,3,5.0,2,1.0,102.0,52.363177,4.9327879999999995,0101000020E6100000AE6708C72CBB134067D47C957C2E4A40
139,Entire home/apt,Amsterdam,Bijlmer Oost,1,0.0,4,3.0,96.0,52.317972999999995,4.965312,0101000020E6100000D3BEB9BF7ADC13406901DA56B3284A40
140,Entire home/apt,Amsterdam,Westerpark,0,0.0,2,1.0,90.0,52.380827000000004,4.870227,0101000020E6100000806264C91C7B134086376BF0BE304A40
141,Entire home/apt,Amsterdam,Centrum West,6,5.0,4,1.0,90.0,52.378811,4.885452,0101000020E61000000FB6D8EDB38A1340BA2EFCE07C304A40
142,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,0.0,103.0,52.356456,4.897412,0101000020E6100000DD26DC2BF3961340433BA759A02D4A40
