,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
1367,Entire home/apt,Nairobi,Nairobi,0,0.0,2,2.0,25.0,-1.3295059999999999,36.833861999999996,0101000020E610000047B071FDBB6A4240575F5D15A845F5BF
1368,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,15.0,-1.290354,36.745028000000005,0101000020E6100000594DD7135D5F42405D34643C4AA5F4BF
1369,Entire home/apt,Nairobi,Nairobi,0,0.0,2,2.0,25.0,-1.298361,36.756311,0101000020E6100000724D81CCCE604240016E162F16C6F4BF
1370,Entire home/apt,Nairobi,Nairobi,6,5.0,2,2.0,23.0,-1.301627,36.819156,0101000020E61000003D29931ADA684240117349D576D3F4BF
1371,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,40.0,-1.3246879999999999,36.846270000000004,0101000020E6100000FFCA4A93526C42405875560BEC31F5BF
1372,Entire home/apt,Nairobi,Nairobi,6,4.0,4,2.0,35.0,-1.315542,36.842362,0101000020E610000053B29C84D26B42401D3BA8C4750CF5BF
1373,Entire home/apt,Nairobi,Nairobi,0,0.0,5,2.0,35.0,-1.2957809999999998,36.755722999999996,0101000020E6100000E2EA0088BB60424069739CDB84BBF4BF
1374,Private room,Nairobi,Nairobi,0,0.0,2,1.0,85.0,-1.3407280000000001,36.737460999999996,0101000020E6100000A9893E1F655E4240C64D0D349F73F5BF
1375,Private room,Nairobi,Nairobi,0,0.0,2,1.0,85.0,-1.297023,36.791431,0101000020E610000032056B9C4D654240938E72309BC0F4BF
1376,Private room,Nairobi,Nairobi,0,0.0,10,1.0,85.0,-1.278226,36.688911,0101000020E6100000656D533C2E584240B0592E1B9D73F4BF
1377,Private room,Nairobi,Nairobi,0,0.0,16,1.0,85.0,-1.305289,36.823976,0101000020E61000002E58AA0B78694240B741EDB776E2F4BF
1378,Private room,Nairobi,Nairobi,0,0.0,2,1.0,100.0,-1.293958,36.79306,0101000020E610000004E275FD82654240705CC64D0DB4F4BF
1379,Private room,Nairobi,Nairobi,0,0.0,2,1.0,100.0,-1.223272,36.825317,0101000020E61000009AEAC9FCA3694240D9CC21A98592F3BF
1380,Private room,Nairobi,Nairobi,0,0.0,2,1.0,95.0,-1.293655,36.771689,0101000020E61000006BD784B4C6624240FBE8D495CFB2F4BF
1381,Private room,Nairobi,Nairobi,0,0.0,4,1.0,100.0,-1.3551950000000001,36.729690000000005,0101000020E6100000EF1B5F7B665D4240573ECBF3E0AEF5BF
1382,Private room,Nairobi,Nairobi,0,0.0,2,1.0,100.0,-1.262498,36.804557,0101000020E61000004A6249B9FB6642401C3F541A3133F4BF
1383,Private room,Nairobi,Nairobi,0,0.0,2,1.0,100.0,-1.266537,36.721689000000005,0101000020E610000004711E4E605C424082C8224DBC43F4BF
1384,Private room,Nairobi,Nairobi,0,0.0,2,1.0,100.0,-1.2471290000000002,36.776171000000005,0101000020E6100000438D4292596342407B4ACE893DF4F3BF
1385,Private room,Nairobi,Nairobi,0,0.0,2,1.0,100.0,-1.231895,36.879049,0101000020E61000006F4A79AD84704240D9B11188D7B5F3BF
1386,Private room,Nairobi,Nairobi,2,0.0,4,1.0,82.0,-1.273507,36.789454,0101000020E610000023D923D40C65424016A243E04860F4BF
1387,Private room,Nairobi,Nairobi,0,0.0,1,1.0,100.0,-1.28473,36.780409000000006,0101000020E610000085402E71E4634240910A630B418EF4BF
