room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
9303398,1413,43319329,Entire home/apt,,Nairobi,,Nairobi,0,0.0,5,3.0,,1363.0,,Furnished 3 bedroomed apartment,2017-06-29 22:02:45.301524,-1.289841,36.787868,0101000020E610000050C8CEDBD864424094A3005130A3F4BF
12120067,1413,3656598,Entire home/apt,,Nairobi,,Nairobi,0,0.0,12,7.0,,1000.0,,Swahili Style Mansion in Narnia,2017-06-29 22:02:44.127747,-1.343764,36.705845,0101000020E6100000C6850321595A42409FAC18AE0E80F5BF
7013912,1413,27981429,Entire home/apt,,Nairobi,,Nairobi,0,0.0,2,2.0,,1000.0,,this a two bedroom apartment,2017-06-29 22:02:44.124437,-1.258053,36.799131,0101000020E6100000221CB3EC49664240AF27BA2EFC20F4BF
8619726,1413,45333369,Entire home/apt,,Nairobi,,Nairobi,0,0.0,3,4.0,,1000.0,,Penthouse to let with spacious room,2017-06-29 22:02:44.118042,-1.270655,36.802813,0101000020E6100000DEE68D93C26642406AFB57569A54F4BF
12095465,1413,44393673,Entire home/apt,,Nairobi,,Nairobi,0,0.0,1,1.0,,800.0,,Spacious one bedroom in Westlands,2017-06-29 22:02:44.114998,-1.25612,36.796512,0101000020E61000008F6FEF1AF4654240D39FFD481119F4BF
11538479,1413,60871891,Entire home/apt,,Nairobi,,Nairobi,0,0.0,16,8.0,,1000.0,,Lavington Hill House,2017-06-29 22:02:44.112174,-1.27895,36.779994,0101000020E6100000C289E8D7D6634240D88173469476F4BF
18558077,1413,38846920,Entire home/apt,,Nairobi,,Nairobi,0,0.0,8,2.0,,750.0,,Beautiful Apartment Near Yaya,2017-06-29 22:02:44.109737,-1.288075,36.788606,0101000020E6100000F6B6990AF164424024B9FC87F49BF4BF
8563287,1413,44920153,Entire home/apt,,Nairobi,,Nairobi,0,0.0,10,5.0,,510.0,,FAIRACRES  HOUSE & SPA,2017-06-29 22:02:42.615434,-1.341291,36.737248,0101000020E61000004D8578245E5E4240C8B4368DED75F5BF
19370179,1413,135784330,Entire home/apt,,Nairobi,,Nairobi,0,0.0,6,6.0,,700.0,,"East African Wildlife Safaris, Kenya",2017-06-29 22:02:42.609226,-1.361734,36.732441,0101000020E6100000F19F6EA0C05D4240C79E3D97A9C9F5BF
5622843,1413,29146111,Entire home/apt,,Nairobi,,Nairobi,0,0.0,10,5.0,,450.0,,Kibo House - A Nairobi paradise,2017-06-29 22:02:41.452208,-1.36148,36.718471,0101000020E6100000ED0F94DBF65B42407F87A2409FC8F5BF
1544292,1413,8212632,Entire home/apt,,Nairobi,,Nairobi,0,0.0,2,1.0,,500.0,,Landrover Discovery Safari Adaption,2017-06-29 22:02:41.443456,-1.323543,36.805191,0101000020E61000004B04AA7F106742407C98BD6C3B2DF5BF
9437413,1413,42595045,Entire home/apt,,Nairobi,,Nairobi,0,0.0,8,4.0,,341.0,,Watamu beach villa/ apartments,2017-06-29 22:02:41.436962,-1.285625,36.825508,0101000020E61000000E4B033FAA69424052B81E85EB91F4BF
13634811,1413,79064099,Entire home/apt,,Nairobi,,Nairobi,1,0.0,13,5.0,,377.0,,Garden House Nairobi,2017-06-29 22:02:41.433591,-1.218583,36.866236,0101000020E6100000164F3DD2E06E4240956247E3507FF3BF
17278721,1413,2689184,Entire home/apt,,Nairobi,,Nairobi,0,0.0,8,4.0,,350.0,,Karura Spring Suites,2017-06-29 22:02:41.430229,-1.247705,36.79796,0101000020E610000012C2A38D2366424011E4A08499F6F3BF
17507730,1413,32027457,Entire home/apt,,Nairobi,,Nairobi,0,0.0,8,6.0,,500.0,,onegoodstay-Luxehill Villas（优住内罗毕豪华独栋别墅）,2017-06-29 22:02:41.427112,-1.335496,36.882504,0101000020E61000006A4B1DE4F57042406405BF0D315EF5BF
18999362,1413,5508785,Entire home/apt,,Nairobi,,Nairobi,0,0.0,5,3.0,,350.0,,Stunning Penthouse in Westlands.,2017-06-29 22:02:41.422632,-1.26165,36.807294,0101000020E6100000E620E8685567424072F90FE9B72FF4BF
9766022,1413,50358049,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,3.0,,400.0,,"Secure, Large, Spacious Apartment",2017-06-29 22:02:41.417200,-1.274791,36.804015,0101000020E6100000293FA9F6E96642401EC3633F8B65F4BF
8636349,1413,693093,Entire home/apt,,Nairobi,,Nairobi,2,0.0,5,3.0,,400.0,,Gorgeous Muthaiga House,2017-06-29 22:02:41.413512,-1.252838,36.829401,0101000020E61000008522DDCF296A42400DFAD2DB9F0BF4BF
12464867,1413,11335862,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,2.0,,220.0,,Jamesborough Residences,2017-06-29 22:02:39.402321,-1.256123,36.788555,0101000020E6100000740CC85EEF644240F60D4C6E1419F4BF
7878692,1413,41530417,Entire home/apt,,Nairobi,,Nairobi,0,0.0,16,1.0,,240.0,,Gem Suites Serviced Apartments,2017-06-29 22:02:39.399428,-1.282565,36.806576,0101000020E610000087DEE2E13D67424068E89FE06285F4BF
266440,1413,1397067,Entire home/apt,,Nairobi,,Nairobi,0,0.0,5,3.0,,300.0,,IL Nido Nairobi Lifestyle Apartment,2017-06-29 22:02:39.395038,-1.295572,36.763988,0101000020E6100000AA44D95BCA61424020D099B4A9BAF4BF
869771,1413,4583407,Entire home/apt,,Nairobi,,Nairobi,0,0.0,6,3.0,,285.0,,LAVINGTON’S Epic - B & B Sleep 6,2017-06-29 22:02:39.392119,-1.290419,36.756492,0101000020E6100000C3D7D7BAD46042404031B2648EA5F4BF
1405571,1413,7584543,Entire home/apt,,Nairobi,,Nairobi,0,0.0,3,2.0,,240.0,,Golf View Serviced Apartments Kenya,2017-06-29 22:02:39.389314,-1.306959,36.733783,0101000020E61000002EAEF199EC5D4240E46723D74DE9F4BF
18497791,1413,128361768,Entire home/apt,,Nairobi,,Nairobi,0,0.0,8,4.0,,300.0,,Flourishing Springs Home,2017-06-29 22:02:39.386401,-1.33665,36.716712,0101000020E61000004C530438BD5B4240A52C431CEB62F5BF
16808955,1413,111780089,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,3.0,,221.0,,Sasumwa Bungalow,2017-06-29 22:02:39.383531,-1.22045,36.819859,0101000020E6100000672AC423F168424082734694F686F3BF
13048107,1413,62878820,Entire home/apt,,Nairobi,,Nairobi,0,0.0,6,3.0,,230.0,,Farm Vacation House in Kiambu,2017-06-29 22:02:39.380759,-1.191403,36.897532,0101000020E6100000868E1D54E27242405BB39597FC0FF3BF
4516834,1413,23418239,Entire home/apt,,Nairobi,,Nairobi,2,0.0,7,3.0,,245.0,,Furnished 3Bed Cottage in Karen,2017-06-29 22:02:38.105844,-1.336059,36.740826,0101000020E61000006403E962D35E4240666CE8667F60F5BF
4024587,1413,20862516,Entire home/apt,,Nairobi,,Nairobi,1,0.0,6,4.0,,225.0,,Tranquil Green Suburb of Nairobi,2017-06-29 22:02:38.102803,-1.232508,36.797679,0101000020E61000005EDA70581A66424013EF004F5AB8F3BF
2880547,1413,14721104,Entire home/apt,,Nairobi,,Nairobi,2,0.0,6,3.0,,300.0,,Connaught 52 in  Westlands,2017-06-29 22:02:38.100020,-1.267454,36.797694,0101000020E6100000931B45D61A6642403DF372D87D47F4BF
13795145,1413,80967584,Entire home/apt,,Nairobi,,Nairobi,0,0.0,7,7.0,,300.0,,Great palatial mansion home,2017-06-29 22:02:38.097128,-1.34268,36.763896,0101000020E6100000CAC51858C76142407AE40F069E7BF5BF
18399257,1413,127472768,Entire home/apt,,Nairobi,,Nairobi,0,0.0,8,4.0,,250.0,,Karen Maghreb,2017-06-29 22:02:38.094194,-1.30471,36.706615,0101000020E610000078EE3D5C725A4240003ACC9717E0F4BF
3345986,1413,16889094,Entire home/apt,,Nairobi,,Nairobi,0,0.0,6,3.0,,282.0,,Kaaz Fully Furnished Apartments ,2017-06-29 22:02:38.091110,-1.286996,36.793188,0101000020E610000032CA332F876542403753211E8997F4BF
9176312,1413,47751911,Entire home/apt,,Nairobi,,Nairobi,1,0.0,7,3.0,,220.0,,The King Post,2017-06-29 22:02:38.088812,-1.2648,36.783779,0101000020E61000005325CADE526442405BB1BFEC9E3CF4BF
3002681,1413,1461392,Entire home/apt,,Nairobi,,Nairobi,5,4.5,8,4.0,,280.0,,"Amazing House, Karen",2017-06-29 22:02:38.083585,-1.325814,36.724685,0101000020E61000006D73637AC25C42405B43A9BD8836F5BF
5235170,1413,27093391,Entire home/apt,,Nairobi,,Nairobi,0,0.0,9,5.0,,300.0,,Covenant Guest House - Entire House (5 rooms),2017-06-29 22:02:38.078907,-1.301595,36.755585,0101000020E6100000912C6002B7604240A5315A4755D3F4BF
14273546,1413,87034646,Entire home/apt,,Nairobi,,Nairobi,0,0.0,5,4.0,,270.0,,Ideal getaway,2017-06-29 22:02:38.075936,-1.220289,36.818088,0101000020E610000002A08A1BB76842405BB22AC24D86F3BF
9670423,1413,49919337,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,3.0,,210.0,,3 bedroom furnished apartment,2017-06-29 22:02:38.073321,-1.310794,36.907673,0101000020E61000002A3BFDA02E7442403AB01C2103F9F4BF
16758364,1413,73371105,Entire home/apt,,Nairobi,,Nairobi,0,0.0,5,2.0,,208.0,,Best 2bdr apart in Nairobi Westland (PARKLANDS),2017-06-29 22:02:38.067420,-1.269955,36.818165,0101000020E6100000ADDD76A1B968424052448655BC51F4BF
17782516,1413,120198843,Entire home/apt,,Nairobi,,Nairobi,0,0.0,6,3.0,,245.0,,Your Nairobi Home away from Home!!!,2017-06-29 22:02:38.060518,-1.266837,36.877827,0101000020E6100000DD4598A25C704240D5CDC5DFF644F4BF
13136392,1413,73178901,Entire home/apt,,Nairobi,,Nairobi,0,0.0,5,3.0,,280.0,,3 Bedroom Apartment For Rent In Kilimani,2017-06-29 22:02:38.057585,-1.297176,36.796331,0101000020E61000003FE5982CEE6542405F7F129F3BC1F4BF
6319300,1413,3712690,Entire home/apt,,Nairobi,,Nairobi,0,0.0,6,3.0,,200.0,,Beautiful Spring Valley home,2017-06-29 22:02:35.997318,-1.245584,36.78123,0101000020E6100000B9533A58FF634240DCBB067DE9EDF3BF
4594411,1413,23418239,Entire home/apt,,Nairobi,,Nairobi,0,0.0,2,1.0,,200.0,,"Executive Furnished Apartment,Karen",2017-06-29 22:02:35.994500,-1.337171,36.742495,0101000020E6100000C5387F130A5F4240CA8D226B0D65F5BF
12141302,1413,65178783,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,2.0,,185.0,,Serenity at Serene Valley,2017-06-29 22:02:35.989769,-1.3056,36.817334,0101000020E610000056F487669E68424088855AD3BCE3F4BF
9891020,1413,12595969,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,4.0,,185.0,,3 bedroom + sq apartment,2017-06-29 22:02:35.986736,-1.292052,36.762334,0101000020E61000007F50172994614240C8B3CBB73EACF4BF
16523675,1413,43718581,Entire home/apt,,Nairobi,,Nairobi,0,0.0,6,2.0,,200.0,,Trendy Upperhill Apartment,2017-06-29 22:02:35.982458,-1.305948,36.81938,0101000020E61000008D7F9F71E1684240FD6CE4BA29E5F4BF
13523472,1413,77659184,Entire home/apt,,Nairobi,,Nairobi,4,4.5,6,4.0,,200.0,,The River House,2017-06-29 22:02:35.979495,-1.34478,36.706452,0101000020E6100000CE18E6046D5A4240C00985083884F5BF
19262811,1413,7426475,Entire home/apt,,Nairobi,,Nairobi,0,0.0,8,4.0,,195.0,,"Magnifique maison avec piscine, calme, securisée",2017-06-29 22:02:35.977203,-1.224881,36.812226,0101000020E6100000FF7A8505F767424051DEC7D11C99F3BF
17414544,1413,117765929,Entire home/apt,,Nairobi,,Nairobi,0,0.0,6,3.0,,200.0,,"Stunning, very large 3 bedroom all en suite flat",2017-06-29 22:02:35.973991,-1.290817,36.765035,0101000020E6100000CEA5B8AAEC614240EEEE01BA2FA7F4BF
16281319,1413,105924536,Entire home/apt,,Nairobi,,Nairobi,1,0.0,8,5.0,,180.0,,Rosslyn Residence,2017-06-29 22:02:35.971369,-1.209667,36.79009,0101000020E6100000C5724BAB2165424092CEC0C8CB5AF3BF
17895413,1413,122599324,Entire home/apt,,Nairobi,,Nairobi,0,0.0,8,4.0,,200.0,,Aloha Cottage,2017-06-29 22:02:35.967045,-1.285555,36.82426,0101000020E610000053B3075A816942403659A31EA291F4BF
17033698,1413,114287692,Entire home/apt,,Nairobi,,Nairobi,1,0.0,4,2.0,,190.0,,"1, 2, or 3 bedroom apt. in School Lane, Westlands.",2017-06-29 22:02:35.963080,-1.260442,36.798812,0101000020E610000080D3BB783F664240CB13083BC52AF4BF
6842332,1413,31256765,Entire home/apt,,Nairobi,,Nairobi,6,4.5,6,4.0,,150.0,,Stunning 4 bedroom duplex apartment,2017-06-29 22:02:34.399685,-1.284211,36.782344,0101000020E6100000651C23D923644240849D62D5208CF4BF
9982713,1413,51294267,Entire home/apt,,Nairobi,,Nairobi,0,0.0,3,3.0,,145.0,,Quality Living-Hurlingham Near YaYa,2017-06-29 22:02:34.389082,-1.288943,36.792551,0101000020E6100000C0B4A84F72654240B187F6B1829FF4BF
8134668,1413,42957630,Entire home/apt,,Nairobi,,Nairobi,0,0.0,6,4.0,,150.0,,Fully Furnished Modern Apartment,2017-06-29 22:02:34.384746,-1.291779,36.77181,0101000020E6100000E65C8AABCA624240A88DEA7420ABF4BF
6681144,1413,7537747,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,2.0,,150.0,,Runda - 2 br Luxury fully furnished,2017-06-29 22:02:32.637473,-1.218999,36.807792,0101000020E610000037FC6EBA656742400FB56D180581F3BF
10912755,1413,56563251,Entire home/apt,,Nairobi,,Nairobi,0,0.0,1,0.0,,175.0,,A Fully furnished studio apartment,2017-06-29 22:02:32.635247,-1.259043,36.797858,0101000020E61000000D6D003620664240A71FD4450A25F4BF
18326904,1413,126789557,Entire home/apt,,Nairobi,,Nairobi,0,0.0,5,5.0,,150.0,,Serene Cosy Home,2017-06-29 22:02:32.632366,-1.376936,36.738241,0101000020E61000007EC85BAE7E5E4240FDF50A0BEE07F6BF
15278301,1413,36203605,Entire home/apt,,Nairobi,,Nairobi,0,0.0,2,1.0,,180.0,,Your Very Own Cozy Retreat,2017-06-29 22:02:32.629406,-1.340314,36.68929,0101000020E6100000DCBA9BA73A58424063EFC517ED71F5BF
4008127,1413,20782499,Entire home/apt,,Nairobi,,Nairobi,0,0.0,6,3.0,,177.0,,Furnished apartment 3bedroom to let,2017-06-29 22:02:32.626536,-1.295489,36.779065,0101000020E6100000A83AE466B8634240703E75AC52BAF4BF
11172511,1413,28266105,Entire home/apt,,Nairobi,,Nairobi,0,0.0,2,1.0,,155.0,,spacious one bedroom apartment,2017-06-29 22:02:32.623391,-1.299973,36.7974,0101000020E61000004BEA0434116642409AED0A7DB0CCF4BF
